GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
419870963,20150325001500,20150325001500,1,thestar.com.my,http://www.thestar.com.my/News/Nation/2015/03/25/Expremier-guided-Singapore-to-the-world-stage-says-Liow/,1,68,139,123,1,50,1524,3.13725490196079,,
419871113,20150325001500,20150325001500,1,thestar.com.my,http://www.thestar.com.my/News/Nation/2015/03/25/Expremier-guided-Singapore-to-the-world-stage-says-Liow/,4,795,849,812,1,100,1524,3.13725490196079,,
419870959,20150325001500,20150325001500,1,thestar.com.my,http://www.thestar.com.my/News/Nation/2015/03/25/Expremier-guided-Singapore-to-the-world-stage-says-Liow/,2,412,433,467,1,80,1524,3.13725490196079,,
419870961,20150325001500,20150325001500,1,thestar.com.my,http://www.thestar.com.my/News/Nation/2015/03/25/Expremier-guided-Singapore-to-the-world-stage-says-Liow/,2,412,448,457,0,20,1524,3.13725490196079,,
443330178,20150624011500,20150624024500,1,4-traders.com,http://www.4-traders.com/SINGAPORE-EXCHANGE-LIMITE-6491511/news/Singapore-Exchange--SGX-provides-support-to-early-stage-equity-fund-raising-platform-20585494/,1,0,-1,64,1,50,1080,3.93258426966292,,
443346839,20150624024500,20150624024500,1,4-traders.com,http://www.4-traders.com/SINGAPORE-EXCHANGE-LIMITE-6491511/news/Singapore-Exchange--SGX-provides-support-to-early-stage-equity-fund-raising-platform-20585494/,1,0,-1,25,1,50,1080,3.93258426966292,,
466138937,20150912054500,20150912104500,1,seychellesnewsagency.com,http://www.seychellesnewsagency.com/articles/3698/Singapore+ruling+party+stages+crushing+election+win,9,4424,4449,4443,1,30,5121,-0.85679314565484,,
466138937,20150912054500,20150912074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2015/09/12/Singapore-ruling-party-stages-crushing-election-win,9,4318,4343,4337,1,30,4980,-0.50188205771643,,
493953727,20151214050000,20151214050000,1,artdaily.com,http://artdaily.com/news/83623/Ink-masters-Wu-Guanzhong-and-Chua-Ek-Kay-take-centre-stage-at-National-Gallery-Singapore,1,187,-1,197,1,100,1838,7.43243243243243,,
493952598,20151214050000,20151214050000,1,artdaily.com,http://artdaily.com/news/83623/Ink-masters-Wu-Guanzhong-and-Chua-Ek-Kay-take-centre-stage-at-National-Gallery-Singapore,2,-1,374,434,1,100,1838,7.43243243243243,,
493953728,20151214050000,20151214050000,1,artdaily.com,http://artdaily.com/news/83623/Ink-masters-Wu-Guanzhong-and-Chua-Ek-Kay-take-centre-stage-at-National-Gallery-Singapore,4,1222,-1,1289,0,40,1838,7.43243243243243,,
493953108,20151214050000,20151214050000,1,artdaily.com,http://artdaily.com/news/83623/Ink-masters-Wu-Guanzhong-and-Chua-Ek-Kay-take-centre-stage-at-National-Gallery-Singapore,2,374,-1,434,1,100,1838,7.43243243243243,,
552356347,20160621080000,20160621080000,1,4-traders.com,http://www.4-traders.com/SINGAPORE-TELECOMMUNICATI-6491140/news/Singapore-Telecommunications-Singtels-HetNet-trial-sets-stage-for-island-wide-VoWiFi-rollout-and-p-22552251/,5,1575,1588,1754,1,50,3697,1.01694915254237,,
552355710,20160621080000,20160621080000,1,4-traders.com,http://www.4-traders.com/SINGAPORE-TELECOMMUNICATI-6491140/news/Singapore-Telecommunications-Singtels-HetNet-trial-sets-stage-for-island-wide-VoWiFi-rollout-and-p-22552251/,5,1540,1588,1754,1,50,3697,1.01694915254237,,
552356138,20160621080000,20160621080000,1,4-traders.com,http://www.4-traders.com/SINGAPORE-TELECOMMUNICATI-6491140/news/Singapore-Telecommunications-Singtels-HetNet-trial-sets-stage-for-island-wide-VoWiFi-rollout-and-p-22552251/,4,1318,1326,1288,0,60,3697,1.01694915254237,,
552356137,20160621080000,20160621080000,1,4-traders.com,http://www.4-traders.com/SINGAPORE-TELECOMMUNICATI-6491140/news/Singapore-Telecommunications-Singtels-HetNet-trial-sets-stage-for-island-wide-VoWiFi-rollout-and-p-22552251/,4,1318,-1,1288,1,60,3697,1.01694915254237,,
575666883,20160904053000,20160904154500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/reuters/article-3773266/Singapore-PM-Lee-says-alright-fainting-stage-two-weeks-ago.html,8,1906,-1,1971,0,20,1944,-1.49700598802395,,
575762194,20160904153000,20160904160000,1,sharenet.co.za,http://www.sharenet.co.za/news/Singapore_PM_Lee_says_he_is_alright_after_fainting_on_stage_two_weeks_ago/9ffde6a02a707f4f9f19483b9a59d50d,7,1624,-1,1638,1,100,2994,-1.41129032258065,,
575762194,20160904153000,20160904154500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/reuters/article-3773266/Singapore-PM-Lee-says-alright-fainting-stage-two-weeks-ago.html,7,1557,-1,1571,1,100,1944,-1.49700598802395,,
575841439,20160905000000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,13,2166,-1,2101,0,20,2238,0.50632911392405,,
575841439,20160905000000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,13,-1,2144,2100,0,20,2238,0.50632911392405,,
575842987,20160905003000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,10,-1,1608,1566,0,20,2238,0.50632911392405,,
575853986,20160905010000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,13,-1,2153,2105,0,20,2238,0.50632911392405,,
575853986,20160905010000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,13,2153,-1,2105,0,20,2238,0.50632911392405,,
575999726,20160905123000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,1,0,81,12,1,100,2238,0.50632911392405,,
575999842,20160905123000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,3,494,569,611,0,40,2238,0.50632911392405,,
575999841,20160905123000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,3,494,569,611,1,60,2238,0.50632911392405,,
576000891,20160905123000,20160905123000,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3774381/Theresa-calls-golden-era-trade-sets-stage-deals-Australia-India-Singapore-Mexico-South-Korea.html,7,1076,1127,1095,1,50,2238,0.50632911392405,,
748569688,20180418040000,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,10,3534,3507,3520,0,20,6002,-0.212539851222101,,
748568760,20180418040000,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,10,3507,3534,3520,0,20,6002,-0.212539851222101,,
748623808,20180418084500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,6,1642,1663,1652,1,80,6002,-0.212539851222101,,
748623739,20180418084500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,15,5775,-1,5849,1,80,6002,-0.212539851222101,,
748739373,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,10,3507,3534,3520,1,80,6002,-0.212539851222101,,
748740722,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,10,3534,3507,3520,1,80,6002,-0.212539851222101,,
748739281,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,6,1663,1642,1652,1,80,6002,-0.212539851222101,,
748739811,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,11,3720,-1,3746,1,50,6002,-0.212539851222101,,
748739970,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,11,3661,3790,3746,1,50,6002,-0.212539851222101,,
748739282,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,6,1663,1642,1652,0,20,6002,-0.212539851222101,,
748740720,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,6,1642,1663,1652,0,20,6002,-0.212539851222101,,
748740609,20180418154500,20180418154500,1,sfgate.com,https://www.sfgate.com/news/article/Singapore-s-next-Cabinet-revamp-sets-stage-for-12844359.php,15,5775,-1,5849,0,20,6002,-0.212539851222101,,
